Integer_Percentile,Result_N
100,14.5
99,14
98,13.8
97,13.2
96,12.1
95,12
94,11.5
93,10.5
92,10
91,9.7
90,9.6
89,9.1
88,8.9
87,8.7
86,8.5
85,8.2
84,8
83,8
82,7.9
81,7.8
80,7.8
79,7.7
78,7.5
77,7.4
76,7.2
75,7
74,6.6
73,6.4
72,6.2
71,6.2
70,6.2
69,6.1
68,6
67,6
66,5.9
65,5.8
64,5.8
63,5.8
62,5.7
61,5.6
60,5.5
59,5.2
58,5.2
57,4.8
56,4.7
55,4.7
54,4.7
53,4.6
52,4.5
51,4.4
50,4.1
49,4
48,3.4
47,3.4
46,3.3
45,3.3
44,3.2
43,3.2
42,3.2
41,3.1
40,3.1
39,3
38,3
37,3
36,2.8
35,2.7
34,2.4
33,2.4
32,2.4
31,2.3
30,2.2
29,2.1
28,2
27,1.8
26,1.8
25,1.8
24,1.7
23,1.6
22,1.5
21,1.4
20,1.3
19,1.3
18,1.3
17,1.3
16,1.3
15,1.2
14,1
13,0.9
12,0.8
11,0.8
10,0.7
9,0.7
8,0.7
7,0.5
6,0.4
5,0.4
4,0.3
3,0.1
2,0
1,0
